pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-06-01	Ancient Anorthosites on Mars: Widespread in the Lower Crust	Research Square (Preprint)	Discovery of widespread ancient anorthosite in Mars' lower crust, providing new insights into early planetary differentiation and crustal evolution.	Phillips, M., Viviano, C., Rogers, A.D., Larson, L., Tornabene, L., Trowbridge, A., Moersch, J., McSween, H. (2025). "Ancient Anorthosites on Mars: Widespread in the Lower Crust." <i>Research Square</i>.	ancient-anorthosites-mars-2025	http://dx.doi.org/10.21203/rs.3.rs-6823461/v1	
2024-11-01	HyPyRameter: A Python Toolbox to Calculate Spectral Parameters from Hyperspectral Reflectance Data	The Planetary Science Journal	Comprehensive Python toolkit for calculating spectral parameters from hyperspectral data, designed for planetary science applications.	Phillips, M.S., Udovicic, C.T., Moersch, J.E., Basu, U., Hamilton, C.W. (2024). "HyPyRameter: A Python Toolbox to Calculate Spectral Parameters from Hyperspectral Reflectance Data." <i>The Planetary Science Journal</i>. 5(11), 258.	hypyrameter-python-toolbox-2024		
2024-08-01	Comparing Rover and Helicopter Planetary Mission Architectures in a Mars Analog Setting in Iceland	The Planetary Science Journal	Field study comparing rover and helicopter mission architectures for planetary exploration using Mars analog terrain in Iceland.	Gwizd, S., Stack, K.M., Francis, R., Calef, F., Carr, B.B., Langley, C., Graff, J., Kristinsson, Þ.H., Thorarensen, V.P., Bernharðsson, E., Phillips, M., et al. (2024). "Comparing Rover and Helicopter Planetary Mission Architectures in a Mars Analog Setting in Iceland." <i>The Planetary Science Journal</i>. 5(8), 172.	rover-helicopter-mars-analog-iceland-2024	http://dx.doi.org/10.3847/PSJ/ad55f4	
2024-03-01	New Views into Pre-Noachian Mars	LPI Contributions	Investigation of ancient Martian crustal composition and processes from the earliest period of Mars history.	Viviano, C.E., Phillips, M.S. (2024). "New Views into Pre-Noachian Mars." <i>LPI Contributions</i>. 3007, 3501.	new-views-pre-noachian-mars-2024		
2024-03-01	Spectral Cube Analysis Tool: A Python Program for Analyzing Multi- and Hyperspectral Images	LPI Contributions	Development of Python software for processing and analyzing hyperspectral image cubes in planetary science.	Phillips, M.S. (2024). "Spectral Cube Analysis Tool: A Python Program for Analyzing Multi- and Hyperspectral Images." <i>LPI Contributions</i>. 3040, 2637.	spectral-cube-analysis-tool-2024		
2024-03-01	The Space Imagery Center at the University of Arizona's Lunar and Planetary Laboratory	LPI Contributions	Overview of the Space Imagery Center facilities and capabilities for planetary image processing and analysis.	Phillips, M.S., Byrne, S. (2024). "The Space Imagery Center at the University of Arizona's Lunar and Planetary Laboratory." <i>LPI Contributions</i>. 3040, 2628.	space-imagery-center-arizona-2024		
2024-03-01	Interpreting Plagioclase Detections in Igneous Rock Spectra: Felsic Rocks and Plagioclase-Rich Basalts are Similar to Mars Detections	LPI Contributions	Spectroscopic analysis comparing terrestrial and Martian plagioclase detections in igneous rocks.	Phillips, M.S., Vannier, H., Horgan, B., Phillips, M., Eddy, M., Greenberger, R. (2024). "Interpreting Plagioclase Detections in Igneous Rock Spectra." <i>LPI Contributions</i>.	plagioclase-detections-igneous-spectra-2024		
2024-02-01	Bottlenecks and Next Steps in the Integration of AI/ML into Astrobiology and the Search for Life Beyond Earth	The Astrobiology Science Conference (AbSciCon) 2024	Analysis of current limitations and future directions for artificial intelligence applications in astrobiology research.	Warren-Rhodes, K., Phillips, M., Gong, J., Hofmann, M.H., Walther-Antonio, M.R., Cabrol, N.A. (2024). "Bottlenecks and Next Steps in the Integration of AI/ML into Astrobiology." <i>AbSciCon 2024</i>. 202-03.	ai-ml-astrobiology-bottlenecks-2024		
2023-09-01	Gypsum-lined degassing holes in tumuli	Earth Surface Processes and Landforms	Study of gypsum formations in volcanic tumuli with implications for Mars analog environments and habitability.	Hofmann, M.H., Hinman, N.W., Phillips, M., McInenly, M., Chong-Diaz, G., Warren-Rhodes, K., Cabrol, N.A. (2023). "Gypsum-lined degassing holes in tumuli." <i>Earth Surface Processes and Landforms</i>. 48(15), 3220-3236.	gypsum-degassing-holes-tumuli-2023	https://doi.org/10.1002/esp.5692	
2023-07-01	A first look at CRISM hyperspectral mapping mosaicked data: Results from Mawrth Vallis	Icarus	First comprehensive analysis of CRISM hyperspectral mapping data from Mawrth Vallis, Mars, revealing detailed mineralogical compositions.	Phillips, M.S., Murchie, S.L., Seelos, F.P., Hancock, K.M., Selby, C., Poffenbarger, R.T., Stephens, D.C., Kawamura, M. (2023). "A first look at CRISM hyperspectral mapping mosaicked data: Results from Mawrth Vallis." <i>Icarus</i>. 115712.	crism-hyperspectral-mawrth-vallis-2023	https://doi.org/10.1016/j.icarus.2023.115712	
2023-10-01	Using AI to Fine Tune the Search for Life	ARPHA Conference Abstracts	Application of artificial intelligence techniques to improve biosignature detection and astrobiology research methodologies.	Phillips, M. (2023). "Using AI to Fine Tune the Search for Life." <i>ARPHA Conference Abstracts</i>. 6, e108253.	ai-search-for-life-2023	http://dx.doi.org/10.3897/aca.6.e108253	
2023-03-01	A Processing Pipeline for CRISM Hyperspectral Mapping Data	54th Lunar and Planetary Science Conference	Development of automated processing pipeline for CRISM hyperspectral data to enable systematic analysis of Mars surface composition.	Phillips, M.S., Murchie, S.L., Seelos, F.P., Hancock, K.M., Stephens, D.C., Kawamura, M. (2023). "A Processing Pipeline for CRISM Hyperspectral Mapping Data." <i>54th LPSC</i>. 2806, 2260.	crism-processing-pipeline-2023		
2023-10-01	Unraveling the context of unique basin-related alteration on early Mars	AAS/Division for Planetary Sciences Meeting Abstracts	Investigation of hydrothermal alteration processes associated with large impact basins on early Mars.	Viviano, C., Phillips, M., Seelos, K., Roberts, J. (2023). "Unraveling the context of unique basin-related alteration on early Mars." <i>AAS/DPS Meeting Abstracts</i>.	basin-related-alteration-early-mars-2023		
2022-06-01	Addressing the Astrobiological Exploration of Mars Through an Integrated Earth-Mars Approach	Frontiers in Astronomy and Space Sciences	Comprehensive framework for astrobiology research combining Earth analog studies with Mars exploration strategies.	Cabrol, N.A., Warren-Rhodes, K., Rowland, S., Steele, A., Benison, K.C., Hinman, N., Mogul, R., Phillips, M., et al. (2022). "Addressing the Astrobiological Exploration of Mars Through an Integrated Earth-Mars Approach." <i>Frontiers in Astronomy and Space Sciences</i>. 8, 797591.	astrobiological-mars-exploration-2022		
2022-06-01	What is that? Identification confidence of Mars analog habitats with Deep Learning	Copernicus Meetings	Deep learning approach to automated identification and classification of Mars analog habitats with confidence metrics.	Phillips, M. (2022). "What is that? Identification confidence of Mars analog habitats with Deep Learning." <i>Copernicus Meetings</i>.	mars-analog-deep-learning-2022		
2022-06-01	Mars uplifted massifs: unique and extensive samples of ancient crust	Copernicus Meetings	Analysis of uplifted massifs on Mars as windows into ancient crustal composition and early planetary processes.	Phillips, M., Viviano, C., Moersch, J., Rogers, A.D., Seelos, F. (2022). "Mars uplifted massifs: unique and extensive samples of ancient crust." <i>Copernicus Meetings</i>.	mars-uplifted-massifs-ancient-crust-2022		
2022-05-01	CRISM Hyperspectral Mapping Data Preliminary Empirical Radiometric Reconciliation	53rd Lunar and Planetary Science Conference	Development of radiometric calibration methods for CRISM hyperspectral mapping data to improve data quality and accuracy.	Phillips, M.S., Seelos, F.P., Murchie, S.L. (2022). "CRISM Hyperspectral Mapping Data Preliminary Empirical Radiometric Reconciliation." <i>53rd LPSC</i>.	crism-radiometric-reconciliation-2022		
2022-04-01	Gypsum Habit Demarcates Zones of Habitability at Decameter to Millimeter Scales	The Astrobiology Science Conference (AbSciCon) 2022	Study of gypsum crystal habits as indicators of habitable zones across multiple spatial scales in Mars analog environments.	Hinman, N.W., Hofmann, M.H., Warren-Rhodes, K., Phillips, M.S., Cabrol, N.A., et al. (2022). "Gypsum Habit Demarcates Zones of Habitability at Decameter to Millimeter Scales." <i>AbSciCon 2022</i>.	gypsum-habitability-zones-2022		
2022-04-01	Automated Detection and Machine Learning Classification of Mars Analog Habitats	The Astrobiology Science Conference (AbSciCon) 2022	Machine learning algorithms for automated detection and classification of potential habitable environments in Mars analog settings.	Warren-Rhodes, K., Cabrol, N.A., Phillips, M.S., Hinman, N.W., et al. (2022). "Automated Detection and Machine Learning Classification of Mars Analog Habitats." <i>AbSciCon 2022</i>.	automated-detection-mars-analog-2022		
2021-12-01	Regional compositional trends in the circum-Isidis and Hellas regions	AGU Fall Meeting Abstracts	Regional analysis of surface composition around major impact basins on Mars using orbital spectroscopy data.	Viviano, C., Phillips, M. (2021). "Regional compositional trends in the circum-Isidis and Hellas regions." <i>AGU Fall Meeting Abstracts</i>. P54A-05.	regional-composition-isidis-hellas-2021		
2021-01-01	Addressing strategic knowledge gaps in the search for biosignatures on Mars	Bulletin of the American Astronomical Society	Strategic assessment of current knowledge gaps and future research priorities for Mars biosignature detection.	Cabrol, N., Bishop, J., Cady, S.L., Demergasso, C., Hinman, N., Hoffman, M., Kanik, I., Moersch, J., Noffke, N., Parro, V., Phillips, M., et al. (2021). "Addressing strategic knowledge gaps in the search for biosignatures on Mars." <i>BAAS</i>. 53(4), 223.	biosignatures-knowledge-gaps-mars-2021		
